Date,Description,Amount
2025-08-26,Grocery Store,-8212
2025-06-19,Salary Credit,54122
2025-03-25,Movie Ticket,-6664
2025-05-12,Gift Purchase,-4233
2025-07-18,Gym Membership,-9536
2025-07-07,Insurance Premium,-7463
2025-05-17,Electronics Purchase,-8733
2025-06-23,Tax Payment,44186
2025-04-04,Gym Membership,-9981
2025-02-04,Salary Credit,34944
2025-07-11,Medical Bill,-7177
2025-02-08,Coffee Shop,-2588
2025-04-30,Restaurant,-9021
2025-02-28,Restaurant,-7409
2025-03-13,Gift Purchase,-6830
2025-08-02,Tax Payment,45054
2025-09-14,Electronics Purchase,-2069
2025-02-18,Grocery Store,-7024
2025-07-27,Electricity Bill,-7343
2025-07-02,Internet Bill,-6797
2025-05-22,Grocery Store,-6914
2025-04-17,Coffee Shop,-7350
2025-03-02,Fuel Station,-396
2025-06-04,Travel Booking,-9892
2025-02-09,Movie Ticket,-9886
2025-02-23,Electricity Bill,-6419
2025-04-23,Medical Bill,-3280
2025-02-14,Fuel Station,-992
2025-03-04,Fuel Station,-4018
2025-06-15,Restaurant,-6725
2025-09-19,Internet Bill,-1441
2025-03-19,Fuel Station,-7885
2025-07-27,Freelance Payment,54195
2025-09-06,Insurance Premium,-692
2025-04-13,Coffee Shop,-7306
2025-01-10,Online Shopping,-6619
2025-09-09,Internet Bill,-4755
2025-05-16,Electronics Purchase,-7741
2025-01-05,Grocery Store,-4281
2025-09-05,Restaurant,-5814
2025-01-16,Freelance Payment,47525
2025-01-01,Gift Purchase,-3463
2025-01-19,Fuel Station,-3524
2025-06-08,Electricity Bill,-3109
2025-04-14,Restaurant,-2216
2025-06-26,Salary Credit,31472
2025-06-16,Grocery Store,-2618
2025-03-20,Tax Payment,58170
2025-04-12,Medical Bill,-5364
2025-04-24,Gym Membership,-8641
2025-05-28,Salary Credit,35964
2025-05-28,Internet Bill,-3068
2025-06-11,Mobile Recharge,-3525
2025-02-25,Water Bill,-522
2025-09-06,Online Shopping,-4137
2025-09-22,Medical Bill,-6830
2025-06-18,Salary Credit,22002
2025-03-16,Freelance Payment,24277
2025-09-08,Gym Membership,-3468
2025-06-01,Medical Bill,-9446
2025-01-03,Gift Purchase,-943
2025-02-01,Internet Bill,-7221
2025-07-23,Travel Booking,-2485
2025-01-01,Electricity Bill,-9279
2025-01-09,Fuel Station,-6598
2025-09-11,Freelance Payment,46509
2025-03-31,Electricity Bill,-1527
2025-08-08,Water Bill,-2383
2025-01-20,Insurance Premium,-9568
2025-08-24,Grocery Store,-4835
2025-05-21,Movie Ticket,-9816
2025-07-24,Electricity Bill,-3993
2025-09-14,Electronics Purchase,-7279
2025-05-24,Coffee Shop,-1022
2025-03-10,Medical Bill,-1244
2025-02-06,Water Bill,-1363
2025-01-25,Travel Booking,-3184
2025-05-24,Electronics Purchase,-8030
2025-02-14,Fuel Station,-772
2025-05-01,Medical Bill,-5707
2025-09-17,Loan EMI,-5167
2025-04-04,Electricity Bill,-8127
2025-04-27,Gym Membership,-8582
2025-08-26,Tax Payment,40012
2025-01-28,Online Shopping,-1585
2025-07-05,Medical Bill,-3820
2025-04-25,Fuel Station,-6567
2025-09-17,Online Shopping,-6350
2025-06-25,Medical Bill,-3206
2025-08-11,Grocery Store,-8879
2025-07-23,Coffee Shop,-1242
2025-06-05,Loan EMI,-8421
2025-02-04,Gym Membership,-5461
2025-07-24,Freelance Payment,47021
2025-09-11,Electronics Purchase,-6228
2025-02-09,Medical Bill,-3208
2025-04-29,Mobile Recharge,-1321
2025-06-02,Movie Ticket,-7540
2025-02-10,Coffee Shop,-8852
2025-07-18,Salary Credit,41853
2025-09-04,Fuel Station,-5566
2025-07-19,Tax Payment,23887
2025-07-08,Gift Purchase,-2532
2025-02-20,Tax Payment,11365
2025-05-10,Fuel Station,-4944
2025-08-25,Salary Credit,34793
2025-07-19,Salary Credit,37284
2025-06-15,Restaurant,-4444
2025-02-27,Gift Purchase,-3957
2025-08-26,Grocery Store,-4884
2025-08-12,Gym Membership,-4408
2025-07-21,Gym Membership,-4171
2025-03-03,Travel Booking,-3764
2025-07-06,Internet Bill,-8063
2025-03-11,Water Bill,-4562
2025-08-14,Mobile Recharge,-5167
2025-05-17,Loan EMI,-7376
2025-01-26,Grocery Store,-7403
2025-03-13,Salary Credit,59695
2025-02-04,Mobile Recharge,-8574
2025-02-24,Salary Credit,21852
2025-05-04,Coffee Shop,-8632
2025-05-16,Electronics Purchase,-7343
2025-04-15,Freelance Payment,10437
2025-02-12,Tax Payment,44986
2025-03-25,Freelance Payment,35391
2025-07-07,Fuel Station,-8790
2025-07-28,Medical Bill,-1759
2025-07-14,Online Shopping,-7427
2025-05-13,Movie Ticket,-7236
2025-05-06,Mobile Recharge,-1711
2025-09-03,Tax Payment,45723
2025-09-09,Insurance Premium,-7792
2025-09-11,Coffee Shop,-1498
2025-03-10,Online Shopping,-1916
2025-06-30,Online Shopping,-4939
2025-06-15,Fuel Station,-4159
2025-06-07,Water Bill,-8561
2025-06-15,Mobile Recharge,-7089
2025-08-21,Medical Bill,-9586
2025-05-15,Grocery Store,-4370
2025-09-22,Loan EMI,-821
2025-01-16,Water Bill,-181
2025-05-17,Mobile Recharge,-4386
2025-08-30,Fuel Station,-7696
2025-08-13,Loan EMI,-7159
2025-07-02,Grocery Store,-3273
2025-09-19,Insurance Premium,-9903
2025-09-13,Electricity Bill,-3141
2025-09-05,Movie Ticket,-7676
2025-05-23,Grocery Store,-1715
2025-03-18,Travel Booking,-7876
2025-09-08,Movie Ticket,-2431
2025-09-05,Online Shopping,-1668
2025-09-08,Gift Purchase,-8847
2025-08-10,Fuel Station,-344
2025-01-09,Fuel Station,-362
2025-02-18,Salary Credit,15806
2025-02-10,Movie Ticket,-5201
2025-09-10,Internet Bill,-6192
2025-09-22,Water Bill,-2033
2025-03-27,Gym Membership,-5434
2025-03-16,Gym Membership,-6985
2025-03-20,Medical Bill,-951
2025-09-08,Water Bill,-1417
2025-06-15,Gym Membership,-131
2025-06-29,Gift Purchase,-2522
2025-07-06,Restaurant,-1232
2025-03-21,Freelance Payment,53158
2025-05-19,Insurance Premium,-1200
2025-04-13,Insurance Premium,-1074
2025-01-17,Gift Purchase,-3506
2025-03-13,Gift Purchase,-3418
2025-07-14,Electricity Bill,-6964
2025-06-15,Travel Booking,-6433
2025-08-21,Electronics Purchase,-2056
2025-02-17,Internet Bill,-6680
2025-05-24,Water Bill,-3137
2025-07-22,Coffee Shop,-9570
2025-02-05,Water Bill,-525
2025-09-20,Loan EMI,-3265
2025-09-12,Fuel Station,-1616
2025-02-08,Electricity Bill,-3376
2025-02-19,Freelance Payment,49183
